type,tags,title,weight,detail,item#
enhancement,budget,Those of you wishing to bulk accept the autogenerated forecasts from the Update Project Forecasts screen now can.,,,161329
bug,system,"We now ensure that the global system user can see all documents, regardless of visibility rules, to avoid issues with synchronizations.",,,300925
enhancement,opsched,"Instead of  typing things like ""6d 12h"" for a duration in the scheduling module, you can now type ""6.5"".  Additionally, the Export to Excel button always exports using the more Excel-friendly decimal days.",,,302484
