type,tags,title,weight,detail,item#
bug,workflow,Resolved issue where Blockly rules referencing the now deprecated Advanced blocks would fail to compile.,,,283239
enhancement,admin,Added additional guidance on the Plugin management screens to help administrators avoid common mistakes.,,,288483
bug,integration,Fixed issue where NET estimate was not correctly exported to Quorum OnDemand Accounting (ODA).,,,290332
enhancement,integration,Improved error messages with Quorum OnDemand Accounting (ODA) integration.,,,290415
