type,tags,title,weight,detail,item#
enhancement,"system,security",New system for managing sensitive credentials in Execute and avoiding the need to embed those credentials in plugin files.,1000,credentials,157817
enhancement,workflow,"Authorized users can now reset/reactivate workflow tasks, causing parts of the workflow to be re-run. ",900,wf,158680
enhancement,"system,security","Now that Execute is part of the Quorum family, we thought it was a good time to tweaks things a bit.  The product formerly known as ""Aucerna Execute"" is now ""Quorum Execute"" or ""Execute"" for short.  The application icons, logos, and branding have been updated accordingly.  ",,,159350
enhancement,"opsched,enersight","To help keep things tidy, we've added an option to remove schedule activities that are no longer in your Enersight import dataset.",800,,161131
enhancement,"welldelivery,wellez","If you use OnDemand Well Operations (WellEz) and have AFEs that contain costs that apply to multiple jobs (such as a D&C AFE), we have good news!  We've added support for pushing multi-job AFEs into WellEz. ",800,,162398
enhancement,"workflow,afe",Workflows created against AFEs are now AFE-version specific and will reset when revisions/supplements are made. ,,,163281
enhancement,system,Adjusted browser caching from 24 hours to 15 minutes to avoid issues that pop up after upgrading Execute versions. ,,,165822
enhancement,system,Support m-files:// links to the M-Files document management system ,,,166537
bug,system,Fixed incorrect error message when trying to use a new build of the Database Tool to copy an older (pre-21.1.212) Execute database.,,,166602
bug,opsched,Fixed issue where unscheduled activities in OpSched would cause a Null Reference Exception when updating Project timing. ,,,171827
enhancement,system,"We've made the user experience a bit more consistent by ensuring that primary document types (AFE, WELL, RTx, SITE and PROJECT) always have vertical tabs.  ",,,172292
enhancement,system,"We've cleaned up the interface a bit by hiding automatic Wells/Sites/Jobs tabs on Sites, Wells, Projects, etc. if those documents are not being used (i.e. There is not much point in showing an empty Wells tab on a Project if you aren't using Execute's Wells module). ",,,172936
enhancement,system,"After rolling out Document Validation Rules and Custom Field Permissions, we fully intended to allow you to create those rules on any record in the system.  Unfortunately, overzealous validation shut that down when you tried to actually do that.  We have ""adjusted"" that validation so that you may now add, for example, Document Validation rules to your Partners, AFE Types, etc.",,,174942
bug,system,Removed the old Aucerna blog widget that was throwing exceptions in the system log. ,,,175280
enhancement,system,Added new Table*Filtered functions which allow extracting Min/Max/Count of a subset of the rows in a table. ,,filtered,175760
schema,,WORKFLOW_INSTANCE.ROOT_DOC_GUID for AFE Workflows is now that AFE's DOCUMENT_ID rather than the CHAIN_GUID.,,,163281
schema,,"New columns (REQ_MANUAL_COMPLETE, REACT_ON_DPNDCY) on WORKFLOW_DEF_TASK to track reactivation configuration.",,,158350
schema,,New column REACTIVATED on WORKFLOW_INSTANCE_TASK to track whether task was reactivated.,,,158350
enhancement,system,We have also included sample configuration for deploying sub-tabs which may be helpful in simplifying layout for those of you with huge numbers of fields. ,,,172292
