type,tags,title,weight,detail,item#
bug,workflow,"Resolved an issue where AFE Numbers containing ""&"" caused errors when exporting to ODA or ODW. ",,,267409
enhancement,"peloton,integration",Support for the 2.1 version of Peleoton's APIs for Peloton-hosted instances of WellView and SiteView. ,,,268639
enhancement,system,"Execute's performance graphs (on the About page) now include past history instead of starting blank when you open the page. In addition, performance history is now included in the Execute Support Package to help our team troubleshoot issues. ",,,269390
bug,api,Resolved an issue where the `/Documents/Field/UpdateMultiple` API wouldn't allow you to set top-level document fields. ,,,274988
enhancement,"well delivery,system","Added configuration options to `user.config` to hide the default Wells and Jobs tabs on a Site, and the default Jobs tab on a Well. This is useful if you've built your own versions of these tabs using Document Link Summary tabs. ",,,276708
bug,well delivery,Fixed the mail icons on the Job's Team tab and restored the behavior where it would automatically populate the new email with a link to the Job. ,,,277169
bug,formula,Fixed an embarrassing typo in the function description for all of our Table* formula functions. ,,,280425
enhancement,integration,Added helpful comments to the Snowflake helper views to describe foreign-keys for document reference fields.  Note that these comments only show when viewing the view definition (such as by querying the Information Schema).,,,280427
enhancement,"email,well delivery,workflow","We've added the ability to make notifications and reminders for Workflow Tasks.  Previously, the ability to customize and extend notifications for Advanced Workflows was limited.  Now, using the new ""Workflow Task"" notification/reminder type, administrators have a lot more control.",,task_email,"269583,271420"
enhancement,email,"If you've ever looked at the Execute email notifications and thought, *""Gosh. These emails sure look retro!""*, we have good news.  The Execute email notifications have received a fresh coat of paint and look much nicer!",,,264438
feature,email,"Administrators can now allow users to opt-in/opt-out of specific email notifications and reminders, giving users more control (when appropriate), and reducing the administrative work for admins.",,email,264439
enhancement,"system,security",Updated version of .NET SDK used by (and included in) Execute.,,,276751
bug,reporting,Resolved issue where the new bulk editing from browse screen feature would not work for workflow task reports.,,,272576
enhancement,system,"We've seen some occurrences of long-running jobs (imports, generating support packages) being resubmitted by *something*.  This is occasionally causing issues like overloading the Execute service with invalid requests or importing duplicate records.  While we continue to investigate the cause of this, we've added new logging which will record if/when this happens.  In addition, the new `Duplicate API Call Detection` setting can be used to reject these duplicate requests if you are encountering problems in your environment.",,,278529
